Owner,Vehicle Type,Vehicle Number,Vehicle Status,Facility,Location,Load,Yard Dwell Time,Location Dwell Time
CPWP,Skirted Trailer,H02505,Empty,DEN8,PS915,,"2 day(s), 12 hour(s), 26 minute(s)","2 day(s), 12 hour(s), 26 minute(s)"
BIDH,Skirted Trailer,W91838,Empty,HLAA,PS512 HLA EMPTIES,,"1 day(s), 11 hour(s), 37 minute(s)","1 day(s), 16 hour(s), 25 minute(s)"
BIDH,Skirted Trailer,7323683,Empty,COS5,PS801,,"1 day(s), 10 hour(s), 48 minute(s)","1 day(s), 23 hour(s), 41 minute(s)"
BIDH,Trailer,1234308PLA,Empty,HLAA,DD323 PS,,"1 day(s), 8 hour(s), 27 minute(s)","1 day(s), 20 hour(s), 38 minute(s)"
BIDH,Trailer,49453,Empty,HLA6,DD330,,"1 day(s), 8 hour(s), 27 minute(s)","7 hour(s), 23 minute(s)"
BIDH,Trailer,G001149,Empty,HFA2,DD108,,"1 day(s), 7 hour(s), 11 minute(s)","1 day(s), 5 hour(s), 39 minute(s)"
BIDH,Trailer,1932269PLA,Empty,DEN3,PS565,,"1 day(s), 7 hour(s), 3 minute(s)","1 day(s), 7 hour(s), 3 minute(s)"
BIDH,Trailer,290476,Empty,DSM9,PS712,,"1 day(s), 7 hour(s), 58 minute(s)","1 day(s), 1 hour(s), 18 minute(s)"
BIDH,Trailer,7327746,Empty,HDY1,OSY-1866ShilohSpringsRd,,"1 day(s), 7 hour(s), 48 minute(s)","5 hour(s), 43 minute(s)"
BIDH,Trailer,288295,Not empty,WMO1,Temp PS 002,,"1 day(s), 6 hour(s), 9 minute(s)","1 day(s), 5 hour(s), 58 minute(s)"
BIDH,Trailer,1830505A,Empty,HRN1,HRN1 Offsite,,"1 day(s), 5 hour(s), 28 minute(s)","1 day(s), 14 minute(s)"
BIDH,Skirted Trailer,W93975,Empty,DENA,PS412,,"1 day(s), 5 hour(s), 32 minute(s)","1 day(s), 18 hour(s), 43 minute(s)"
BIDH,Trailer,7323015,Empty,AUS5,PS535,,"1 day(s), 4 hour(s), 25 minute(s)","1 day(s), 20 hour(s), 30 minute(s)"
BIDH,Trailer,1739273A,Empty,CLT4,PS802,,"1 day(s), 4 hour(s), 40 minute(s)","3 hour(s), 57 minute(s)"
BIDH,Trailer,7328485,Empty,RBD5,PS524,,"1 day(s), 2 hour(s), 14 minute(s)","1 day(s), 22 hour(s), 33 minute(s)"
BIDH,Skirted Trailer,U91185,Not empty,MEM4,PS435,"VR_ID 11565NH43
ISA 114940004968","1 day(s), 22 hour(s), 8 minute(s)","1 day(s), 22 hour(s), 8 minute(s)"
BIDH,Skirted Trailer,w93962,Empty,DEN8,PS889,,"1 day(s), 21 hour(s), 33 minute(s)","1 day(s), 14 hour(s), 58 minute(s)"
BIDH,Skirted Trailer,535453,Empty,PNEA,PS330,,"1 day(s), 19 hour(s), 18 minute(s)","1 day(s), 18 hour(s), 19 minute(s)"
BIDH,Trailer,7328487,Empty,MSP7,PS845 (3rd Party),,"1 day(s), 19 hour(s), 12 minute(s)","11 hour(s), 39 minute(s)"
BIDH,Skirted Trailer,G000050,Empty,MDW8,PS243,,"1 day(s), 19 hour(s), 33 minute(s)","1 day(s), 18 hour(s), 38 minute(s)"
BIDH,Skirted Trailer,7323975,Empty,PNEA,PS313,,"1 day(s), 18 hour(s), 20 minute(s)","1 day(s), 14 hour(s), 53 minute(s)"
